x1,x2,y
0.3194038888388972,0.7629593742689353,1.3226770395454075e-79
0.5743292145098291,0.879898104984359,1.0330782375230975e-46
0.7310236309563586,0.7329998764152272,7.710875114502849e-16
0.8403534169072556,0.264731613996767,3.341771007676023e-124
0.6501140597987644,0.6815263520602101,-0.0036060626443634
0.4104371366251856,0.1475542990299818,-2.1592490357331095e-54
0.3126911567947775,0.0787227779497188,-2.0890932702320842e-91
0.6834181688515067,0.8610574643936101,2.5350011535584046e-40
0.0825072518208058,0.403487506426324,3.6067711901420254e-81
0.8838898288181171,0.5822539743824439,6.229856468168658e-48
0.666422,0.206532,1.0084917708944912e-74
0.496189,0.999917,-7.07639243882584e-109
0.077121,0.492948,-3.907021515829406e-87
0.005234,0.992655,0.0
0.994902,0.994222,3.0266546419298027e-187
0.001142,0.002684,5.389889495950419e-246
0.407463,0.465698,-0.0053385633321984
0.46,0.49,-1.359124064035148e-06
0.36,0.44,-0.0007828871397078
0.385,0.511,-3.2476529132156495e-08
0.42,0.46,0.0026980420468722
0.43,0.455,0.03149313279097503
