x1,x2,x3,y
0.1715252068810621,0.3439168702758373,0.2487372010692387,-0.1121222004625689
0.2421144606124933,0.6440742697791076,0.2724328091994552,-0.0879628602273644
0.5349057202251034,0.3985009153676316,0.1733887289456772,-0.111414654295324
0.4925814146371343,0.6115931882759961,0.3401763860035727,-0.0348353133500785
0.1346216663206111,0.2199172404897456,0.458206219649227,-0.0480075843921815
0.3455232705197697,0.9413598305723256,0.2693634790694064,-0.1106209130728265
0.151836632374168,0.4399906189664437,0.990881866558951,-0.3989255131463011
0.6455028351793182,0.3971429395797703,0.9197713377032198,-0.1138685147886399
0.7469119451655177,0.2841963092257342,0.2262998548875254,-0.1314606086413605
0.1704769939696806,0.697032400686134,0.1491694337083002,-0.0941895609105739
0.2205493370831766,0.2978252442230862,0.3435553444167258,-0.0469474058265191
0.6660136587669346,0.6719851513369297,0.2462952966705313,-0.1059650357355817
0.0468089497224973,0.2313602407834674,0.7706175921643,-0.1180482564468869
0.6000972824185008,0.7251357252228826,0.0660886414953486,-0.0363778280716324
0.9659948489488088,0.8611196897300882,0.5668291312870885,-0.0567583715539764
0.0,0.0,0.0,-0.1742845065481631
0.292949,0.004902,0.659805,-0.1669733527844163
0.88399,0.828081,0.850814,-0.0530893543180773
0.16203,0.021115,0.512694,-0.08569167427688
0.340631,0.985946,0.997953,-0.4620637654256695
0.961192,0.999999,0.406087,-0.0567431026618729
0.121596,0.0,0.86484,-0.0951041900765629
0.913105,0.0,0.091277,-0.1047728866869139
0.925193,0.999999,0.491149,-0.0633760150926809
0.999999,0.0,0.837472,-0.1003614404446471
0.504829,0.60649,0.337197,-0.0407376055924919
0.393839,0.990914,0.084696,-0.07064168974926131
