x1,x2,y
0.6657995800131589,0.123969127675349,0.5389961189269181
0.8777909889953304,0.7786275008473289,0.4205862396279826
0.142699074235946,0.3490051305732001,-0.0656236244373373
0.8452754286767249,0.7111202665952655,0.293992912410866
0.4546471410512441,0.2904551797740609,0.2149645101004509
0.5777128444074784,0.7719731841154063,0.0231055497981905
0.4381660616117107,0.6850182567997548,0.2446193440044803
0.3417495930288503,0.0286977198222778,0.0387490151561584
0.3386481568870176,0.2138672456386436,-0.0138576181497298
0.7026365569244406,0.9265641975455574,0.6112052157614438
0.983504,0.88887,0.0520184489072394
0.693032,0.021807,0.5857910587270567
0.744832,0.040605,0.2960379265314096
0.0,0.896919,-0.0236384509840965
0.239544,0.994463,-0.1134866007278002
0.920285,0.040059,-0.0024133056515196
0.689312,0.981023,0.404159096545482
0.683947,0.025798,0.4909744890638413
0.699851,0.047138,0.6823483366445214
0.677784,0.032638,0.5463410285405027
