x1,x2,x3,x4,y
0.1914470844571281,0.038193371351508,0.6074178108720669,0.4145841369758819,64.443439863301
0.7586529492430261,0.5365177380716337,0.6560003817255494,0.3603415530292175,18.30137959857266
0.4383498726531087,0.8043397048222797,0.2102452663986996,0.1512948160943209,0.1129397953712203
0.7060508340594309,0.5341919611519633,0.2642433451718953,0.4820875490370939,4.210898128938665
0.8364779930351233,0.19360964686178,0.6638926969585176,0.7856488828898288,258.3705254462536
0.6834322498676915,0.1186626417884907,0.8290459096967396,0.5675766059352313,78.43438888779464
0.553621479516824,0.6673499787364745,0.3238058191550842,0.8148697537245304,57.57153693261287
0.3523562694659523,0.3222415319718313,0.1169793675885731,0.4731125215557709,109.5718755614928
0.1537857059438134,0.7293816904129607,0.4225984366784806,0.4430741656488165,8.847991759070865
0.4634422673852829,0.630024510146729,0.1079064558186504,0.957643898670113,233.22361017104996
0.6774911484129013,0.3585095065455117,0.4795922244652951,0.0728804811001407,24.423088313942344
0.5839734124984879,0.1472426461525712,0.3480974620935275,0.4286146510285499,64.42014681963983
0.3068887187315784,0.3168781265532129,0.6226344812966896,0.0953990581063173,63.47671578508436
0.5111417749497505,0.8179569972191587,0.7287104181315311,0.1123536230961304,79.72912992694343
0.4389333758453766,0.7740917616539319,0.3781670863874171,0.933696206815422,355.8068177560159
0.2241890233028834,0.8464804904862864,0.8794841797090803,0.8785156842249731,1088.8596181962705
0.7252617231526987,0.4798704862952277,0.0889468426065851,0.7597602201100938,28.866751637393826
0.3554816095006123,0.639619366711706,0.4176176788641453,0.122603839671336,45.181570346703786
0.119879225824281,0.8625403059525095,0.6433313263318788,0.8498038287021323,431.6127567592104
0.1268846700785032,0.1534296212513496,0.770162187580243,0.1905181050957739,9.972331894593824
0.0,0.0,0.999999,0.999999,1616.625747348229
0.999999,0.999999,0.999999,0.999999,8662.405001248297
0.999999,0.999999,0.999999,0.999999,8662.405001248297
0.937179,0.0,0.0,0.0,61.82298067418735
0.999999,0.999999,0.999999,0.920516,7348.139462786648
0.0,0.0,0.0,0.0,163.1225
0.185156,0.016903,0.328554,0.982614,154.2173749658613
0.965208,0.077388,0.960107,0.001138,1079.244079955335
0.007603,0.930329,0.997611,0.296371,1132.535372662324
0.993054,0.999353,0.238204,0.314632,1585.9300081817114
